order_id,customer_id,category,order_value,discount_pct,payment_method,prior_orders,prior_returns,prior_return_ratio,category_return_rate,days_since_last_order,order_freq_30d,returned
100000,1027,Footwear,1797.69,42.5,UPI,14,2,0.143,0.24,47,1,0
100001,279,Apparel - Mens,2858.51,30.1,COD,20,0,0.0,0.19,27,1,1
100002,1393,Footwear,3177.56,17.2,UPI,11,1,0.091,0.24,86,1,0
100003,261,Furniture,7441.85,2.0,Credit Card,6,1,0.167,0.11,115,0,0
100004,872,Home & Kitchen,2959.69,20.9,Credit Card,14,4,0.286,0.07,3,4,0
100005,1795,Electronics,5525.88,5.5,Debit Card,16,3,0.188,0.09,62,0,0
100006,878,Footwear,2705.08,2.5,UPI,17,1,0.059,0.24,15,1,0
100007,485,Apparel - Mens,946.99,3.8,Credit Card,16,5,0.312,0.19,25,0,0
100008,1484,Electronics,4554.87,23.0,COD,6,1,0.167,0.09,0,0,0
100009,2117,Apparel - Mens,1679.18,10.5,Debit Card,16,3,0.188,0.19,79,1,0
100010,2022,Footwear,3026.36,8.2,UPI,17,1,0.059,0.24,163,1,0
100011,2194,Footwear,880.39,2.0,COD,7,1,0.143,0.24,9,1,0
100012,1935,Home & Kitchen,952.53,16.5,Credit Card,14,0,0.0,0.07,108,0,0
100013,592,Home & Kitchen,3609.87,26.5,COD,15,3,0.2,0.07,6,1,0
100014,1105,Apparel - Womens,1388.07,14.5,COD,11,1,0.091,0.28,97,2,0
100015,1005,Electronics,9515.37,4.9,UPI,9,2,0.222,0.09,10,1,0
100016,1740,Furniture,4975.56,26.6,UPI,8,1,0.125,0.11,3,1,1
100017,641,Footwear,2933.3,12.7,UPI,7,2,0.286,0.24,41,0,0
100018,546,Beauty,1044.14,32.2,Credit Card,14,6,0.429,0.05,10,0,0
100019,2174,Footwear,3223.65,7.6,Credit Card,19,5,0.263,0.24,10,0,1
100020,1176,Mobile Accessories,1496.12,22.7,Debit Card,14,2,0.143,0.06,3,1,0
100021,1302,Footwear,1194.6,20.0,Netbanking,15,7,0.467,0.24,5,0,0
100022,1859,Home & Kitchen,2399.77,27.2,Credit Card,11,2,0.182,0.07,47,1,0
100023,523,Home & Kitchen,3013.0,18.4,COD,18,5,0.278,0.07,8,3,1
100024,1662,Apparel - Mens,666.9,1.5,UPI,13,8,0.615,0.19,85,0,1
100025,1982,Footwear,560.45,33.0,UPI,9,1,0.111,0.24,6,3,1
100026,1213,Beauty,701.5,11.1,COD,10,0,0.0,0.05,43,3,0
100027,1725,Mobile Accessories,819.66,15.1,Credit Card,7,0,0.0,0.06,3,4,0
100028,993,Home & Kitchen,1736.88,5.0,COD,9,1,0.111,0.07,40,2,1
100029,1850,Mobile Accessories,539.61,6.3,COD,11,1,0.091,0.06,40,1,0
100030,2156,Apparel - Womens,2518.23,1.2,Credit Card,10,2,0.2,0.28,6,1,1
100031,1502,Electronics,6124.78,19.0,Debit Card,9,1,0.111,0.09,5,1,1
100032,697,Beauty,835.22,3.9,Debit Card,10,0,0.0,0.05,4,1,0
100033,1955,Furniture,8185.21,17.1,UPI,12,0,0.0,0.11,5,0,0
100034,600,Beauty,1512.59,33.8,Credit Card,14,0,0.0,0.05,33,0,0
100035,2048,Apparel - Mens,1353.33,26.4,Credit Card,14,7,0.5,0.19,0,1,1
100036,398,Electronics,3366.47,4.8,Debit Card,16,2,0.125,0.09,192,2,0
100037,477,Footwear,2764.15,2.4,UPI,13,0,0.0,0.24,53,1,0
100038,1454,Footwear,1953.93,20.0,Credit Card,10,2,0.2,0.24,10,0,1
100039,2042,Footwear,1000.19,6.8,Credit Card,10,3,0.3,0.24,28,1,0
100040,724,Furniture,10415.42,17.1,Debit Card,14,0,0.0,0.11,1,1,0
100041,1187,Mobile Accessories,812.65,22.1,UPI,8,0,0.0,0.06,69,3,0
100042,699,Beauty,796.82,17.6,Credit Card,11,3,0.273,0.05,17,1,1
100043,644,Footwear,3362.33,3.4,UPI,11,4,0.364,0.24,33,2,0
100044,1405,Electronics,8037.58,13.5,UPI,11,1,0.091,0.09,88,0,1
100045,708,Footwear,3272.81,15.4,Debit Card,10,1,0.1,0.24,13,2,0
100046,1428,Furniture,8674.28,23.8,Credit Card,16,3,0.188,0.11,3,2,0
100047,1562,Apparel - Womens,1141.08,4.4,Netbanking,12,5,0.417,0.28,53,0,0
100048,1593,Home & Kitchen,2062.78,18.2,Netbanking,8,3,0.375,0.07,61,0,0
100049,1161,Beauty,150.0,2.1,COD,13,1,0.077,0.05,8,0,0
100050,1125,Home & Kitchen,3339.34,26.4,COD,7,0,0.0,0.07,17,0,0
100051,1296,Footwear,2394.27,3.4,UPI,9,1,0.111,0.24,54,1,0
100052,774,Furniture,13892.64,10.2,UPI,9,4,0.444,0.11,14,3,0
100053,107,Apparel - Womens,1091.78,15.0,COD,12,4,0.333,0.28,121,1,0
100054,2020,Home & Kitchen,2052.46,8.0,Credit Card,9,0,0.0,0.07,55,2,1
100055,1997,Furniture,18166.83,26.6,UPI,19,0,0.0,0.11,18,0,0
100056,438,Electronics,3899.08,16.8,Credit Card,9,3,0.333,0.09,36,2,0
100057,42,Home & Kitchen,2438.65,20.3,Debit Card,11,3,0.273,0.07,4,3,0
100058,2081,Electronics,5257.78,4.1,UPI,8,1,0.125,0.09,28,2,0
100059,1579,Home & Kitchen,2061.07,8.5,Debit Card,15,1,0.067,0.07,60,3,1
100060,138,Footwear,1731.45,2.1,UPI,11,1,0.091,0.24,33,2,0
100061,1211,Beauty,1136.65,8.9,COD,11,5,0.455,0.05,52,1,0
100062,244,Electronics,5506.15,9.1,COD,8,1,0.125,0.09,6,1,0
100063,1769,Apparel - Mens,628.05,13.2,Debit Card,18,4,0.222,0.19,73,1,0
100064,709,Footwear,3260.24,29.5,UPI,13,6,0.462,0.24,6,2,1
100065,310,Footwear,3491.08,5.4,Credit Card,13,0,0.0,0.24,4,0,0
100066,2081,Apparel - Mens,1531.78,4.0,COD,8,1,0.125,0.19,31,1,0
100067,2131,Apparel - Womens,2132.34,21.9,COD,11,1,0.091,0.28,15,3,0
100068,923,Footwear,2116.41,19.2,UPI,11,0,0.0,0.24,31,0,0
100069,690,Apparel - Mens,1398.6,13.6,UPI,9,6,0.667,0.19,9,3,1
100070,160,Apparel - Womens,1799.86,8.5,COD,13,0,0.0,0.28,134,0,0
100071,1198,Mobile Accessories,687.38,1.8,COD,15,0,0.0,0.06,57,1,0
100072,412,Apparel - Womens,1675.99,9.9,COD,13,1,0.077,0.28,5,1,0
100073,1629,Electronics,6570.89,4.9,UPI,14,2,0.143,0.09,15,1,0
100074,1683,Apparel - Womens,3346.16,9.9,UPI,19,2,0.105,0.28,19,1,0
100075,2194,Footwear,1907.56,6.4,Credit Card,7,1,0.143,0.24,17,2,0
100076,1546,Furniture,2893.25,18.8,UPI,7,0,0.0,0.11,55,0,0
100077,852,Mobile Accessories,1028.98,13.6,UPI,13,0,0.0,0.06,29,3,0
100078,1610,Apparel - Mens,1312.37,4.8,Debit Card,11,1,0.091,0.19,18,1,0
100079,140,Home & Kitchen,3096.2,9.8,COD,7,1,0.143,0.07,5,1,0
100080,1589,Electronics,10034.97,20.2,COD,13,1,0.077,0.09,119,0,0
100081,1665,Apparel - Mens,2949.13,7.5,UPI,11,1,0.091,0.19,16,0,0
100082,39,Beauty,445.62,9.1,UPI,15,1,0.067,0.05,42,0,0
100083,2020,Apparel - Mens,1140.07,2.2,COD,9,0,0.0,0.19,16,1,0
100084,1338,Footwear,2851.64,43.1,COD,7,2,0.286,0.24,2,4,0
100085,1550,Apparel - Mens,736.87,5.4,UPI,20,6,0.3,0.19,9,2,0
100086,1447,Beauty,651.19,12.5,COD,14,0,0.0,0.05,5,3,0
100087,1963,Mobile Accessories,183.36,10.8,COD,12,3,0.25,0.06,55,1,1
100088,1511,Apparel - Womens,257.96,2.5,Debit Card,10,1,0.1,0.28,5,1,0
100089,946,Apparel - Mens,2775.55,4.4,UPI,14,6,0.429,0.19,15,1,0
100090,1670,Home & Kitchen,4262.33,14.9,Debit Card,16,1,0.062,0.07,151,2,0
100091,2016,Furniture,13133.37,14.5,UPI,12,1,0.083,0.11,21,0,0
100092,863,Home & Kitchen,2423.67,2.4,UPI,12,5,0.417,0.07,32,2,0
100093,1941,Mobile Accessories,1041.63,7.7,UPI,13,2,0.154,0.06,41,1,0
100094,1884,Mobile Accessories,577.1,20.9,UPI,13,5,0.385,0.06,93,0,1
100095,1872,Apparel - Mens,2222.82,6.7,Debit Card,11,1,0.091,0.19,1,0,0
100096,1986,Home & Kitchen,2811.44,12.2,Netbanking,9,2,0.222,0.07,64,0,0
100097,1352,Home & Kitchen,2829.64,6.0,Credit Card,16,5,0.312,0.07,146,2,0
100098,1585,Home & Kitchen,2787.5,10.6,Credit Card,13,3,0.231,0.07,11,0,0
100099,1533,Mobile Accessories,424.66,8.3,COD,13,2,0.154,0.06,97,1,0
100100,1994,Mobile Accessories,760.59,5.7,Credit Card,18,3,0.167,0.06,29,0,0
100101,1948,Home & Kitchen,1912.84,22.7,UPI,11,0,0.0,0.07,43,0,0
100102,773,Apparel - Mens,500.43,11.6,Credit Card,15,3,0.2,0.19,58,3,1
100103,1562,Furniture,8374.39,10.9,UPI,12,5,0.417,0.11,6,3,1
100104,8,Electronics,6431.23,7.4,UPI,16,0,0.0,0.09,10,0,0
100105,421,Beauty,1064.67,0.7,COD,16,3,0.188,0.05,16,2,0
100106,1946,Mobile Accessories,734.73,3.1,Netbanking,12,3,0.25,0.06,25,0,0
100107,327,Electronics,7165.36,3.9,UPI,14,1,0.071,0.09,129,0,0
100108,2164,Mobile Accessories,671.21,12.0,Credit Card,9,1,0.111,0.06,55,0,0
100109,599,Furniture,12246.56,19.2,COD,9,3,0.333,0.11,25,1,0
100110,1071,Mobile Accessories,538.64,5.7,Credit Card,10,1,0.1,0.06,41,0,0
100111,1693,Apparel - Womens,1492.31,2.3,COD,11,1,0.091,0.28,3,2,0
100112,1415,Apparel - Mens,1908.26,14.0,Credit Card,12,3,0.25,0.19,15,1,0
100113,1011,Footwear,2745.07,10.9,Credit Card,10,0,0.0,0.24,7,1,0
100114,645,Furniture,15165.46,7.2,COD,13,6,0.462,0.11,10,0,1
100115,1987,Furniture,10557.5,9.2,COD,7,2,0.286,0.11,0,0,0
100116,728,Home & Kitchen,2737.9,18.7,UPI,18,3,0.167,0.07,30,0,0
100117,1694,Home & Kitchen,3403.73,9.5,Credit Card,9,2,0.222,0.07,24,0,0
